,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
109,good ssd for sata,i bought this for to replace a wd 1 5tb black hdd used to hold games the reason behind moving my game storage from a hdd to an ssd was to decrease game load times the 2nd reason was 1tb ssd s are finally hitting a good price point this review is late in coming i have owned this ssd for 2 years now i ran crysaldiskmark to perform the testing do to the speed of the drive i was not able to test its potential real data transfer speed as a note to the speed tests i am not sure why the newer 850 is slower than my older one samsung 850 evo 1tb read 403 mb s write 411 mb s 2017 model firmware emt03b6q for comparisonsamsung 860 evo 256gb read 542 mb s write 509 mb s new drive in another computer samsung 850 pro 512gb read 553 mb s write 502 mb s 2014 model firmware exm04b6q samsung 850 evo 1tb read 555 mb s write 508 mb s 2014 model firmware emt02b6q wd black nvme 500gb read 3414 mb s write 2543 mb swd red 3tb wdefrx read 135 mb s write 128 mb seven though the newer drive is slow i am still happy with its performance it is very close to the max speed of a sata iii 6gbps interface i have the 2 evo s for my game libraries and the pro for my os the evo series in has a shorter expected life than the pro series fewer writes which is why i am using it for my game library i expect to only install and not uninstall games regularly while the os drives tend to do more writes i am also using a standard hdd the wd red 3tb for my mass storage like pictures docs and music,runs at 30 degrees c so nice and coolquiet like all ssd sstill fast compared to hdd s,a little slow for some reason see other section,years,2019-04-03 08:28:24,5,2019,4,3
110,amzing price,a fast drive at a great price no excuse not to upgrade a little big but i guess it s to keep to same form factor for bay install very saitsfied of my purchase,fast and great price performance ratio,size,years,2019-03-25 13:16:07,5,2019,3,25
111,ssds overrated,would not recommend any ssd for anything you want to have around,,dead after 80 days,years,2019-03-19 15:47:37,1,2019,3,19
112,love it,recommend 100 nothing to say,so fast boyy,none,years,2019-03-07 12:35:16,5,2019,3,7
113,nothing lasts,trying to find a replacement that works in a long term seems like a joke anymore,meh,after 2 years of buying 2 of the 500gb ssd they are starting to die on me the reason i know this is every other time i start up my rig the screens show info on my desktop like everything is fine then i cant move my mouse or do anything i also have wallpaper engine which is you can choose moving background images and they froze up and sometimes my other ssd dont show up half the time,years,2019-02-27 21:36:03,2,2019,2,27
114,a1 seller,,works as should,no cons,years,2019-02-18 15:57:00,5,2019,2,18
115,very fast drive,these drives are a little pricey i bought this one on sale you definitely get what you pay for tho cheers,i have installed many ssd drives and performance gain is always impressive this drive is really impressive i tested two ssd s on my macbook the samsung drive was noticeably much faster than brand x i also wish to note that the brand x drive had errors using carbon copy and the samsung drive did not,none,years,2019-02-17 05:17:49,5,2019,2,17
116,worth it,bought this to bring my current at the time laptop back to life after being fed up a with previous hdd s failing in it for an almost 10 year old laptop it has never ran faster than with this ssd in it i ve had the mb not detect it a couple of times but a simple restart fixed the issue it s now still running strong after 5 years in a newer laptop running windows 10,fast for the pricelight weight,isn t always detected by motherboard,,2019-02-12 18:53:22,5,2019,2,12
117,bad product,i wont buy ever again from them,,i bought a samsung 850 evo 1tb it said new not used it had 19 9 tb written on it already i want a refund now,week,2019-02-04 14:37:47,1,2019,2,4
118,almost 5 yrs smooth as grease,i hope the current version 860 evo is even nearly as good,no problems with the then current samsung data migration tool made it through a firmware upgrade no grief no apparent degradation of any kind,pricey,years,2019-01-26 11:57:17,5,2019,1,26
119,good,perfectly valid place to get an ssd,it works exactly as advertised,none,years,2019-01-13 23:41:19,5,2019,1,13
120,great,been 2 years still boot super fast never had a problem,fast,none,years,2019-01-12 11:21:25,5,2019,1,12
121,excellent drive bas customer service,,these drives are fast and the price is great if you get one on sale,rma process if it needs to be returned has been reported as being very difficult therefore i would consider paying a little more for the intel ssd and avoid that problem later anyone can sell you any thing but service after the sale is everything samsung is the fastest but intel is more reliable and does not have the rma return issue samsung is the best as long as it does not fail to work i do have five samsung drives ranging from 1 month to 2 years old and no problems with any one of them yet i now feel comfortable with their quality and will purchase more of them in the future,,2019-01-07 08:32:16,4,2019,1,7
122,2 years later still going strong,there are newer models out now but if you re looking at this one for some reason know that i ve been entirely happy with it,quick durable,none,years,2019-01-05 08:28:54,5,2019,1,5
123,this ssd changed my life,every computer needs an ssd even if its just a boot drive don t deny yourself the simple pleasure of sub 30 second boot times get an ssd today lame 80 s graphics,25secs to boot up moves files from drive to drive really fast loading regular files is way faster can fit a few games on there that i usually save scrub fallout skyrim dishonored games where i load my saves over and over reliable havent had an issue in 3 years,might one day take over the world,years,2018-12-27 23:26:23,5,2018,12,27
124,excellent product amazing first ssd and loving it no regrets highly recommend samsung over others,if you were planning on getting an ssd don t get anything less than a samsung 850 evo in rust steam game my load times to load into a server went from 3 18 minutes sec on the mentioned hdd above to literally 1 minute on the 850 evo saved me between 15 23 seconds on boot up as well take my word if you never owned an ssd like me and this is your first time there are 2 things i highly suggest you do and you won t regret 1 don t buy the 250gb version skip that and don t get anything smaller than the 500gb version my first ssd and i love it i bought the 250gb version and when i saw how fast it was i returned it for the 500gb version 2 days after 2 don t buy anything other than a samsung ssd they are some of the best ssd s in the market when compared and comparing samsung 850 evo and other samsung s ssd to other brands the 850 supersedes the other ssd brands by at least 12 15 minimum i thought ssd s were just hype but i was wrong until i tried it no regrets on my purchase not sponsored just a normal gamer on a budget i7 6700k gtx 970,super fast at least 3 times faster than my wd 2tb 7200rpm black hdd small and very light bigger than a credit card by an inch or so easy to set up and install basically plug and play very simple,no cons at all highly recommend the samsung 850 evo over any other brand ssd,,2018-12-16 12:36:11,5,2018,12,16
